date,region,daily_ed_visits,departments_reporting
21-03-2018,Auvergne et Rhône-Alpes,6776,12
22-03-2018,Auvergne et Rhône-Alpes,6927,12
23-03-2018,Auvergne et Rhône-Alpes,7508,12
24-03-2018,Auvergne et Rhône-Alpes,7570,12
25-03-2018,Auvergne et Rhône-Alpes,7297,12
26-03-2018,Auvergne et Rhône-Alpes,8106,12
27-03-2018,Auvergne et Rhône-Alpes,7059,12
28-03-2018,Auvergne et Rhône-Alpes,6950,12
29-03-2018,Auvergne et Rhône-Alpes,7491,12
30-03-2018,Auvergne et Rhône-Alpes,7238,12
31-03-2018,Auvergne et Rhône-Alpes,6830,12
01-04-2018,Auvergne et Rhône-Alpes,6911,12
02-04-2018,Auvergne et Rhône-Alpes,7393,12
03-04-2018,Auvergne et Rhône-Alpes,8102,12
04-04-2018,Auvergne et Rhône-Alpes,7115,12
05-04-2018,Auvergne et Rhône-Alpes,7282,12
06-04-2018,Auvergne et Rhône-Alpes,7514,12
07-04-2018,Auvergne et Rhône-Alpes,7350,12
08-04-2018,Auvergne et Rhône-Alpes,7197,12
09-04-2018,Auvergne et Rhône-Alpes,7839,12
10-04-2018,Auvergne et Rhône-Alpes,6745,12
11-04-2018,Auvergne et Rhône-Alpes,6576,12
12-04-2018,Auvergne et Rhône-Alpes,6444,12
13-04-2018,Auvergne et Rhône-Alpes,6674,12
14-04-2018,Auvergne et Rhône-Alpes,6776,12
15-04-2018,Auvergne et Rhône-Alpes,6523,12
16-04-2018,Auvergne et Rhône-Alpes,7402,12
17-04-2018,Auvergne et Rhône-Alpes,6487,12
18-04-2018,Auvergne et Rhône-Alpes,6644,12
19-04-2018,Auvergne et Rhône-Alpes,6745,12
20-04-2018,Auvergne et Rhône-Alpes,6910,12
21-04-2018,Auvergne et Rhône-Alpes,7310,12
22-04-2018,Auvergne et Rhône-Alpes,7357,12
23-04-2018,Auvergne et Rhône-Alpes,8277,12
24-04-2018,Auvergne et Rhône-Alpes,7320,12
25-04-2018,Auvergne et Rhône-Alpes,7263,12
26-04-2018,Auvergne et Rhône-Alpes,7247,12
27-04-2018,Auvergne et Rhône-Alpes,7466,12
28-04-2018,Auvergne et Rhône-Alpes,7493,12
29-04-2018,Auvergne et Rhône-Alpes,7144,12
30-04-2018,Auvergne et Rhône-Alpes,7961,12
01-05-2018,Auvergne et Rhône-Alpes,6197,12
02-05-2018,Auvergne et Rhône-Alpes,7761,12
03-05-2018,Auvergne et Rhône-Alpes,7167,12
04-05-2018,Auvergne et Rhône-Alpes,7454,12
05-05-2018,Auvergne et Rhône-Alpes,7334,12
06-05-2018,Auvergne et Rhône-Alpes,7152,12
07-05-2018,Auvergne et Rhône-Alpes,8577,12
08-05-2018,Auvergne et Rhône-Alpes,6968,12
